Year,Country,GDP_USD_Bil
2024,China,18743.803170827
2023,China,18270.356654533
2022,China,18316.76502169
2021,China,18201.698719564
2020,China,14996.414166715
2019,China,14560.167101283
2018,China,14147.765772963
2017,China,12537.559062282
2016,China,11456.024084962
2015,China,11280.814787468
2014,China,10674.533168257
2013,China,9743.124247267
2012,China,8673.664713189
2011,China,7671.757207851
2010,China,6192.564874453
2009,China,5189.577094997
2008,China,4667.346414521
2007,China,3604.055822571
2006,China,2791.498472804
2005,China,2317.551298052
2004,China,1984.1965513
2003,China,1683.903309843
2002,China,1489.82168205
2001,China,1355.036590251
2000,China,1223.754919971
1999,China,1103.843203575
1998,China,1037.13414176
1997,China,967.753570434
1996,China,868.52393653
1995,China,738.190896227
1994,China,566.929539493
1993,China,446.557291212
1992,China,428.502354788
1991,China,384.510452961
1990,China,361.560229445
1989,China,348.380566801
1988,China,312.888888888
1987,China,273.45515695
1986,China,301.310144927
1985,China,310.06462585
1984,China,260.442857142
1983,China,231.130268199
1982,China,205.48091603
1981,China,196.218253968
1980,China,191.4875
1979,China,178.573913043
1978,China,149.788617886
1977,China,175.226595859
1976,China,154.196810058
1975,China,163.687619735
1974,China,144.418433058
1973,China,138.764340892
1972,China,113.871930713
1971,China,99.959013879
1970,China,92.752930873
1969,China,79.847786729
1968,China,70.980323818
1967,China,73.011350596
1966,China,76.854053259
1965,China,70.565994356
1964,China,59.821862703
1963,China,50.812227918
1962,China,47.310737754
1961,China,50.162299349
1960,China,59.846235024
