Year,Country,GDP_USD_Bil
2024,Japan,4026.210821146
2023,Japan,4213.167237905
2022,Japan,4262.463317796
2021,Japan,5039.148168861
2020,Japan,5054.068005376
2019,Japan,5117.993853016
2018,Japan,5040.880939324
2017,Japan,4930.837369151
2016,Japan,5003.677627544
2015,Japan,4444.930651964
2014,Japan,4896.994405353
2013,Japan,5212.328181166
2012,Japan,6272.362996105
2011,Japan,6233.147172341
2010,Japan,5759.071769013
2009,Japan,5289.493117993
2008,Japan,5106.679115127
2007,Japan,4579.750920354
2006,Japan,4601.663122649
2005,Japan,4831.467035389
2004,Japan,4893.116005656
2003,Japan,4519.561645253
2002,Japan,4182.846045873
2001,Japan,4374.71169409
2000,Japan,4968.359075956
1999,Japan,4635.982224063
1998,Japan,4098.362709531
1997,Japan,4492.448605638
1996,Japan,4923.391533851
1995,Japan,5545.563663889
1994,Japan,4998.79754774
1993,Japan,4536.940479038
1992,Japan,3980.702922117
1991,Japan,3648.065760648
1990,Japan,3185.904656663
1989,Japan,3109.455047823
1988,Japan,3125.7244344
1987,Japan,2580.748422781
1986,Japan,2120.083812109
1985,Japan,1427.019759717
1984,Japan,1345.824500836
1983,Japan,1270.859919742
1982,Japan,1158.731426905
1981,Japan,1245.221410764
1980,Japan,1129.377244854
1979,Japan,1077.910077676
1978,Japan,1035.611588216
1977,Japan,737.069290927
1976,Japan,598.883902155
1975,Japan,532.861438884
1974,Japan,490.03578997
1973,Japan,441.460582535
1972,Japan,324.933841268
1971,Japan,245.364056622
1970,Japan,217.223652719
1969,Japan,184.298841304
1968,Japan,156.897496759
1967,Japan,132.475614226
1966,Japan,113.046784179
1965,Japan,97.338107605
1964,Japan,87.490590817
1963,Japan,74.379284603
1962,Japan,64.987857541
1961,Japan,57.266758179
1960,Japan,47.419238274
