Year,Country,GDP_USD_Bil
2024,China,18743.803170827
2023,China,18270.356654533
2022,China,18316.76502169
2021,China,18201.698719564
2020,China,14996.414166715
2019,China,14560.167101283
2018,China,14147.765772963
2017,China,12537.559062282
2016,China,11456.024084962
2015,China,11280.814787468
2014,China,10674.533168257
2013,China,9743.124247267
2012,China,8673.664713189
2011,China,7671.757207851
2010,China,6192.564874453
2009,China,5189.577094997
2008,China,4667.346414521
2007,China,3604.055822571
2006,China,2791.498472804
2005,China,2317.551298052
2004,China,1984.1965513
2003,China,1683.903309843
2002,China,1489.82168205
2001,China,1355.036590251
2000,China,1223.754919971
1999,China,1103.843203575
1998,China,1037.13414176
1997,China,967.753570434
1996,China,868.52393653
1995,China,738.190896227
1994,China,566.929539493
1993,China,446.557291212
1992,China,428.502354788
1991,China,384.510452961
1990,China,361.560229445
1989,China,348.380566801
1988,China,312.888888888
1987,China,273.45515695
1986,China,301.310144927
1985,China,310.06462585
1984,China,260.442857142
1983,China,231.130268199
1982,China,205.48091603
1981,China,196.218253968
1980,China,191.4875
1979,China,178.573913043
1978,China,149.788617886
1977,China,175.226595859
1976,China,154.196810058
1975,China,163.687619735
1974,China,144.418433058
1973,China,138.764340892
1972,China,113.871930713
1971,China,99.959013879
1970,China,92.752930873
1969,China,79.847786729
1968,China,70.980323818
1967,China,73.011350596
1966,China,76.854053259
1965,China,70.565994356
1964,China,59.821862703
1963,China,50.812227918
1962,China,47.310737754
1961,China,50.162299349
1960,China,59.846235024
2024,Japan,4026.210821146
2023,Japan,4213.167237905
2022,Japan,4262.463317796
2021,Japan,5039.148168861
2020,Japan,5054.068005376
2019,Japan,5117.993853016
2018,Japan,5040.880939324
2017,Japan,4930.837369151
2016,Japan,5003.677627544
2015,Japan,4444.930651964
2014,Japan,4896.994405353
2013,Japan,5212.328181166
2012,Japan,6272.362996105
2011,Japan,6233.147172341
2010,Japan,5759.071769013
2009,Japan,5289.493117993
2008,Japan,5106.679115127
2007,Japan,4579.750920354
2006,Japan,4601.663122649
2005,Japan,4831.467035389
2004,Japan,4893.116005656
2003,Japan,4519.561645253
2002,Japan,4182.846045873
2001,Japan,4374.71169409
2000,Japan,4968.359075956
1999,Japan,4635.982224063
1998,Japan,4098.362709531
1997,Japan,4492.448605638
1996,Japan,4923.391533851
1995,Japan,5545.563663889
1994,Japan,4998.79754774
1993,Japan,4536.940479038
1992,Japan,3980.702922117
1991,Japan,3648.065760648
1990,Japan,3185.904656663
1989,Japan,3109.455047823
1988,Japan,3125.7244344
1987,Japan,2580.748422781
1986,Japan,2120.083812109
1985,Japan,1427.019759717
1984,Japan,1345.824500836
1983,Japan,1270.859919742
1982,Japan,1158.731426905
1981,Japan,1245.221410764
1980,Japan,1129.377244854
1979,Japan,1077.910077676
1978,Japan,1035.611588216
1977,Japan,737.069290927
1976,Japan,598.883902155
1975,Japan,532.861438884
1974,Japan,490.03578997
1973,Japan,441.460582535
1972,Japan,324.933841268
1971,Japan,245.364056622
1970,Japan,217.223652719
1969,Japan,184.298841304
1968,Japan,156.897496759
1967,Japan,132.475614226
1966,Japan,113.046784179
1965,Japan,97.338107605
1964,Japan,87.490590817
1963,Japan,74.379284603
1962,Japan,64.987857541
1961,Japan,57.266758179
1960,Japan,47.419238274
2024,USA,29184.89
2023,USA,27720.709
2022,USA,26006.893
2021,USA,23681.171
2020,USA,21354.105
2019,USA,21539.982
2018,USA,20656.516
2017,USA,19612.102
2016,USA,18804.913
2015,USA,18295.019
2014,USA,17608.138
2013,USA,16880.683
2012,USA,16253.97
2011,USA,15599.732
2010,USA,15048.971
2009,USA,14478.067
2008,USA,14769.862
2007,USA,14474.228
2006,USA,13815.583
2005,USA,13039.197
2004,USA,12217.196
2003,USA,11456.45
2002,USA,10929.108
2001,USA,10581.929
2000,USA,10250.952
1999,USA,9631.172
1998,USA,9062.817
1997,USA,8577.552
1996,USA,8073.122
1995,USA,7639.749
1994,USA,7287.236
1993,USA,6858.559
1992,USA,6520.327
1991,USA,6158.129
1990,USA,5963.144
1989,USA,5641.58
1988,USA,5236.438
1987,USA,4855.215
1986,USA,4579.631
1985,USA,4338.979
1984,USA,4037.613
1983,USA,3634.038
1982,USA,3343.789
1981,USA,3207.041
1980,USA,2857.307
1979,USA,2627.333
1978,USA,2351.599
1977,USA,2081.826
1976,USA,1873.412
1975,USA,1684.904
1974,USA,1545.243
1973,USA,1425.376
1972,USA,1279.11
1971,USA,1164.85
1970,USA,1073.303
1969,USA,1018.471133696
1968,USA,941.639100803
1967,USA,860.737154023
1966,USA,814.08204361
1965,USA,743.503780837
1964,USA,685.631590686
1963,USA,638.380883119
1962,USA,604.729643906
1961,USA,562.640778342
1960,USA,542.390475099
