Year,Country,GDP_USD_Bil
2024,USA,29184.89
2023,USA,27720.709
2022,USA,26006.893
2021,USA,23681.171
2020,USA,21354.105
2019,USA,21539.982
2018,USA,20656.516
2017,USA,19612.102
2016,USA,18804.913
2015,USA,18295.019
2014,USA,17608.138
2013,USA,16880.683
2012,USA,16253.97
2011,USA,15599.732
2010,USA,15048.971
2009,USA,14478.067
2008,USA,14769.862
2007,USA,14474.228
2006,USA,13815.583
2005,USA,13039.197
2004,USA,12217.196
2003,USA,11456.45
2002,USA,10929.108
2001,USA,10581.929
2000,USA,10250.952
1999,USA,9631.172
1998,USA,9062.817
1997,USA,8577.552
1996,USA,8073.122
1995,USA,7639.749
1994,USA,7287.236
1993,USA,6858.559
1992,USA,6520.327
1991,USA,6158.129
1990,USA,5963.144
1989,USA,5641.58
1988,USA,5236.438
1987,USA,4855.215
1986,USA,4579.631
1985,USA,4338.979
1984,USA,4037.613
1983,USA,3634.038
1982,USA,3343.789
1981,USA,3207.041
1980,USA,2857.307
1979,USA,2627.333
1978,USA,2351.599
1977,USA,2081.826
1976,USA,1873.412
1975,USA,1684.904
1974,USA,1545.243
1973,USA,1425.376
1972,USA,1279.11
1971,USA,1164.85
1970,USA,1073.303
1969,USA,1018.471133696
1968,USA,941.639100803
1967,USA,860.737154023
1966,USA,814.08204361
1965,USA,743.503780837
1964,USA,685.631590686
1963,USA,638.380883119
1962,USA,604.729643906
1961,USA,562.640778342
1960,USA,542.390475099
